Geom;Label;geo_point_2d
"{""coordinates"": [[-123.07515605746276, 49.28215750023784], [-123.07516584881452, 49.28182377283649]], ""type"": ""LineString""}";;49.28199063653716, -123.07516095313864
"{""coordinates"": [[-123.06729443189721, 49.26569539424641], [-123.06599691351158, 49.26568582517026]], ""type"": ""LineString""}";;49.26569060970833, -123.06664567270441
"{""coordinates"": [[-123.06598208472768, 49.266429727746164], [-123.06705833306744, 49.26643763557776]], ""type"": ""LineString""}";R.O.W.;49.266433681661965, -123.06652020889757
"{""coordinates"": [[-123.0663746163574, 49.26393245279769], [-123.0663739508391, 49.26394864454734]], ""type"": ""LineString""}";;49.263940548672515, -123.06637428359824
"{""coordinates"": [[-123.06314157536187, 49.25986310603363], [-123.06386140832916, 49.260150098373366]], ""type"": ""LineString""}";EASE.;49.2600066022035, -123.06350149184551
"{""coordinates"": [[-123.06507688478561, 49.26275344289728], [-123.06508308326552, 49.26241882673201]], ""type"": ""LineString""}";5' SEWER EASE.;49.26258613481464, -123.06507998402557
"{""coordinates"": [[-123.06481158910529, 49.26000249759036], [-123.06480773496382, 49.26021838479288]], ""type"": ""LineString""}";;49.260110441191614, -123.06480966203455
"{""coordinates"": [[-123.06482773456565, 49.260272794592396], [-123.06470335305315, 49.26027196479381]], ""type"": ""LineString""}";;49.260272379693106, -123.0647655438094
"{""coordinates"": [[-123.06470335305315, 49.26027196479381], [-123.06470399753411, 49.26022878742581]], ""type"": ""LineString""}";;49.26025037610981, -123.06470367529363
"{""coordinates"": [[-123.06430542697095, 49.2602258616224], [-123.06430926839161, 49.2600090749233]], ""type"": ""LineString""}";;49.26011746827286, -123.06430734768128
"{""coordinates"": [[-123.06430926839161, 49.2600090749233], [-123.06439035627847, 49.26000947952149]], ""type"": ""LineString""}";;49.26000927722239, -123.06434981233504
"{""coordinates"": [[-123.06445563081418, 49.26000359623854], [-123.06445562612836, 49.25999999815708]], ""type"": ""LineString""}";;49.26000179719781, -123.06445562847128
"{""coordinates"": [[-123.06470398342242, 49.26021799318191], [-123.06432259253077, 49.26021505781548]], ""type"": ""LineString""}";;49.26021652549869, -123.06451328797658
"{""coordinates"": [[-123.06432259253077, 49.26021505781548], [-123.06432577241509, 49.26001806094608]], ""type"": ""LineString""}";;49.26011655938077, -123.06432418247293
"{""coordinates"": [[-123.0643896813856, 49.260018924868284], [-123.06446801002146, 49.26001123526052]], ""type"": ""LineString""}";;49.260015080064406, -123.06442884570353
"{""coordinates"": [[-123.06692860294734, 49.25584688727687], [-123.06691599887426, 49.25616037787285]], ""type"": ""LineString""}";3' SEW.EASE.;49.25600363257486, -123.0669223009108
"{""coordinates"": [[-123.05754484803533, 49.25543185647878], [-123.05813097474379, 49.255433362103595]], ""type"": ""LineString""}";3' SEWER EASE.;49.25543260929119, -123.05783791138954
"{""coordinates"": [[-123.0644472725413, 49.257806538384415], [-123.06509432127642, 49.25814123834842]], ""type"": ""LineString""}";R.O.W.;49.257973888366415, -123.06477079690886
"{""coordinates"": [[-123.06474490535538, 49.25684029495016], [-123.06526438649475, 49.25684450028081]], ""type"": ""LineString""}";;49.256842397615486, -123.06500464592506
"{""coordinates"": [[-123.06526568841934, 49.25678962873272], [-123.06487126833287, 49.256786702538875]], ""type"": ""LineString""}";;49.256788165635804, -123.0650684783761
"{""coordinates"": [[-123.05822976922809, 49.25080757402787], [-123.05823243398001, 49.25081839393973]], ""type"": ""LineString""}";;49.25081298398379, -123.05823110160405
"{""coordinates"": [[-123.05869925046342, 49.24804090848202], [-123.05911763756932, 49.2474843492185]], ""type"": ""LineString""}";;49.24776262885026, -123.05890844401637
"{""coordinates"": [[-123.05924315242945, 49.24506005203252], [-123.0592427934305, 49.24532271302707]], ""type"": ""LineString""}";;49.245191382529796, -123.05924297292998
"{""coordinates"": [[-123.05841820671093, 49.248437128832165], [-123.05840325883891, 49.24875308477387]], ""type"": ""LineString""}";;49.248595106803016, -123.0584107327749
"{""coordinates"": [[-123.06335026314649, 49.24378055860249], [-123.06309020158626, 49.244011869468316]], ""type"": ""LineString""}";3.5' P.U. EASE.;49.2438962140354, -123.06322023236638
"{""coordinates"": [[-123.05845635422703, 49.24372691830724], [-123.05845639298309, 49.24375975089714]], ""type"": ""LineString""}";EASE.;49.243743334602186, -123.05845637360504
"{""coordinates"": [[-123.05845639298309, 49.24375975089714], [-123.05846463644417, 49.24375974672573]], ""type"": ""LineString""}";;49.243759748811435, -123.05846051471363
"{""coordinates"": [[-123.05932752187886, 49.24495296545834], [-123.05936939425601, 49.244925508485544]], ""type"": ""LineString""}";;49.244939236971945, -123.05934845806743
"{""coordinates"": [[-123.0592017727326, 49.244925144741345], [-123.05924371080147, 49.2449525587056]], ""type"": ""LineString""}";;49.244938851723475, -123.05922274176703
"{""coordinates"": [[-123.06476088605243, 49.23738230739639], [-123.06477345225319, 49.23702248152108]], ""type"": ""LineString""}";20' P.U. EASE.;49.23720239445873, -123.06476716915282
"{""coordinates"": [[-123.06518397253436, 49.23937904061061], [-123.06503766228845, 49.23937777378524]], ""type"": ""LineString""}";;49.239378407197925, -123.06511081741141
"{""coordinates"": [[-123.0649015446654, 49.239291945769004], [-123.06479576137203, 49.23929065586244]], ""type"": ""LineString""}";;49.23929130081572, -123.06484865301871
"{""coordinates"": [[-123.06477389373933, 49.239377031449045], [-123.0648920401226, 49.23937740591233]], ""type"": ""LineString""}";;49.23937721868069, -123.06483296693096
"{""coordinates"": [[-123.06625670030861, 49.23384664140031], [-123.06623540836429, 49.23384620384756]], ""type"": ""LineString""}";;49.23384642262394, -123.06624605433646
"{""coordinates"": [[-123.05859407988626, 49.23244335795962], [-123.0585927706537, 49.232497779905096]], ""type"": ""LineString""}";4x20 P.U. EASE.;49.23247056893236, -123.05859342526998
"{""coordinates"": [[-123.05724313178457, 49.22891117550856], [-123.05725028461114, 49.22857564880577]], ""type"": ""LineString""}";5' P.U. EASE.;49.228743412157165, -123.05724670819785
"{""coordinates"": [[-123.05639420466902, 49.23001395290288], [-123.05625755175575, 49.230013569769916]], ""type"": ""LineString""}";;49.230013761336394, -123.05632587821238
"{""coordinates"": [[-123.05719050394022, 49.22972436390588], [-123.05717745549096, 49.22972437036505]], ""type"": ""LineString""}";;49.22972436713546, -123.05718397971559
"{""coordinates"": [[-123.05781274196777, 49.22567936224686], [-123.0578199550384, 49.22539915616437]], ""type"": ""LineString""}";4' P.U. EASE.;49.22553925920562, -123.0578163485031
"{""coordinates"": [[-123.0584847124688, 49.22542535754949], [-123.05856849104046, 49.225426214629664]], ""type"": ""LineString""}";4x20 P.U.;49.22542578608958, -123.05852660175462
