Geom;Label;geo_point_2d
"{""coordinates"": [[-123.10341648836715, 49.27132447631743], [-123.10339684781715, 49.271372231387836], [-123.10365307236016, 49.27141736458093], [-123.10367886523711, 49.27138906878335], [-123.10370406363332, 49.27136024231128], [-123.10372865663307, 49.271330897652035], [-123.10375263358294, 49.27130104751742], [-123.1037759840964, 49.27127070483817], [-123.10379869805826, 49.27123988275843], [-123.10382076562904, 49.271208594629975], [-123.10384217724933, 49.2711768540065], [-123.10386292364386, 49.27114467463769], [-123.10388299582549, 49.27111207046331], [-123.10390238509918, 49.27107905560713], [-123.1039210830657, 49.27104564437084], [-123.10393908162528, 49.27101185122782], [-123.10395637298116, 49.27097769081689], [-123.10397294964291, 49.27094317793599], [-123.10398880442968, 49.27090832753572], [-123.10400393047337, 49.2708731547129], [-123.1040183212215, 49.27083767470402], [-123.1040319704402, 49.27080190287863], [-123.10404487221676, 49.270765854732716], [-123.10405702096226, 49.27072954588193], [-123.10406841141399, 49.270692992054876], [-123.10407903863774, 49.2706562090863], [-123.10408889802991, 49.27061921291016], [-123.10409798531951, 49.27058201955282], [-123.10410629657004, 49.27054464512604], [-123.10411382818114, 49.270507105820016], [-123.10412057689021, 49.27046941789637], [-123.10412653977376, 49.27043159768111], [-123.10413171424877, 49.27039366155755], [-123.10413609807367, 49.2703556259592], [-123.10413968934945, 49.27031750736268], [-123.104064149488, 49.27031611819981], [-123.10406082060028, 49.27035207819387], [-123.10405676580191, 49.270387963584724], [-123.10405198674852, 49.270423759720195], [-123.10404648539136, 49.27045945198457], [-123.10404026397671, 49.27049502580452], [-123.10403332504478, 49.2705304666551], [-123.10402567142877, 49.27056576006566], [-123.1040173062537, 49.27060089162571], [-123.10400823293507, 49.270635846990906], [-123.1039984551776, 49.2706706118888], [-123.10398797697357, 49.270705172124714], [-123.1039768026013, 49.27073951358756], [-123.1039649366233, 49.27077362225556], [-123.10395238388455, 49.27080748420199], [-123.10393914951034, 49.27084108560086], [-123.10392523890437, 49.27087441273256], [-123.10391065774637, 49.27090745198949], [-123.10389541198992, 49.27094018988154], [-123.10387950785992, 49.270972613041714], [-123.10386295185009, 49.27100470823146], [-123.10384575072034, 49.27103646234618], [-123.10382791149395, 49.271067862420516], [-123.10380944145479, 49.271098895633685], [-123.10379034814423, 49.27112954931468], [-123.10377063935817, 49.27115981094745], [-123.10375032314379, 49.271189668176056], [-123.10372940779631, 49.27121910880964], [-123.10370790185553, 49.27124812082746], [-123.10368581410246, 49.27127669238378], [-123.1036631535556, 49.2713048118127], [-123.10363992946738, 49.271332467632924], [-123.10361615132028, 49.27135964855246], [-123.10341648836715, 49.27132447631743]], ""type"": ""LineString""}";;49.27094952468505, -123.10386010595494
"{""coordinates"": [[-123.03114294621531, 49.27737295189193], [-123.03194125018324, 49.27737387636299], [-123.03194208016227, 49.27750946951096], [-123.03101724664228, 49.27750839917581], [-123.03114294621531, 49.27737295189193]], ""type"": ""LineString""}";AIR SPACE PCL;49.27744535776336, -123.03149857806471
"{""coordinates"": [[-123.11559480244472, 49.24948683667313], [-123.11559032150397, 49.249592148295385], [-123.11564642717455, 49.249593117603816], [-123.11564930366025, 49.249524526108054], [-123.11559480244472, 49.24948683667313]], ""type"": ""LineString""}";R.O.W.;49.24954647028586, -123.11561684813886
"{""coordinates"": [[-123.11604640088501, 49.249198086865476], [-123.11604482604046, 49.24923553558537], [-123.1159563875981, 49.249233942274856], [-123.1159579625095, 49.2491964935561], [-123.11604640088501, 49.249198086865476]], ""type"": ""LineString""}";VOL. R.O.W.;49.24921601457541, -123.11600139425775
"{""coordinates"": [[-123.11595405531993, 49.24937043821744], [-123.11603909989978, 49.24937196297674], [-123.11604015411524, 49.24934688322025], [-123.11595510955738, 49.24934534946647], [-123.11595405531993, 49.24937043821744]], ""type"": ""LineString""}";VOL EASE.;49.24935865843108, -123.11599710298889
"{""coordinates"": [[-123.1031932863215, 49.28158059088428], [-123.10311910424211, 49.281579199889784], [-123.10312096673007, 49.281536057355105], [-123.10319514874482, 49.28153744834846], [-123.1031932863215, 49.28158059088428]], ""type"": ""LineString""}";;49.28155832412534, -123.1031571265091
"{""coordinates"": [[-123.11067111944169, 49.266682584049775], [-123.1106701788185, 49.26670451525162], [-123.11063760657376, 49.266681959495116], [-123.11067111944169, 49.266682584049775]], ""type"": ""LineString""}";;49.26668944413615, -123.11065792668697
"{""coordinates"": [[-123.11868698739505, 49.283288130042735], [-123.11866997965278, 49.28327713741538], [-123.11882744277345, 49.28317292839811], [-123.11851437645797, 49.28297004888444], [-123.11854435899775, 49.28295024673211], [-123.11887439180174, 49.28316411880769], [-123.11868698739505, 49.283288130042735]], ""type"": ""LineString""}";;49.28311872901038, -123.11871100139959
"{""coordinates"": [[-123.04449063397922, 49.26156361220116], [-123.04449068223349, 49.261800752827845], [-123.04452597249681, 49.261826159688034], [-123.04500082349394, 49.261847042491695], [-123.04500078176567, 49.26183138185276], [-123.04451477025225, 49.26181000861293], [-123.04451473656594, 49.261635033858276], [-123.04452729870748, 49.26163510097934], [-123.04452728954598, 49.26156381396543], [-123.04449063397922, 49.26156361220116]], ""type"": ""LineString""}";;49.261775629106076, -123.044668457441
"{""coordinates"": [[-123.17660053342061, 49.23520388095327], [-123.17580008904721, 49.23520269109505], [-123.17579974343796, 49.23514788353597], [-123.17660106607168, 49.23514907205366], [-123.17660053342061, 49.23520388095327]], ""type"": ""LineString""}";;49.235175867847126, -123.17620035868266
"{""coordinates"": [[-123.18536735498822, 49.248664635926836], [-123.18536613479722, 49.24880849866005], [-123.18536476071976, 49.24880849186946], [-123.18536598091475, 49.248664629136265], [-123.18536735498822, 49.248664635926836]], ""type"": ""LineString""}";;49.248736563899136, -123.18536605785495
"{""coordinates"": [[-123.13978614210593, 49.27436923999646], [-123.13965059042063, 49.27441299459838], [-123.13965035886805, 49.27435045131671], [-123.13967228282793, 49.2743151366836], [-123.13967591872634, 49.27428823666768], [-123.13967062507076, 49.27426359624343], [-123.13966894336606, 49.2742522643356], [-123.13966527791612, 49.27417131204675], [-123.13966264252473, 49.27416303965636], [-123.13964959894433, 49.274144570303704], [-123.13988257472988, 49.2741334402951], [-123.13989218026565, 49.27421953063552], [-123.13978614210593, 49.27436923999646]], ""type"": ""LineString""}";;49.27425412844425, -123.13975334069572
"{""coordinates"": [[-123.17589577196331, 49.2687330319323], [-123.17588315242062, 49.2687328442531], [-123.17588920045652, 49.26857810857608], [-123.17590176500802, 49.26857830533354], [-123.17589577196331, 49.2687330319323]], ""type"": ""LineString""}";;49.26865558519124, -123.17589247175836
"{""coordinates"": [[-123.13070731959957, 49.27606229081578], [-123.13069476207673, 49.276070607578276], [-123.13033697687595, 49.27583913375752], [-123.13034953440031, 49.27583081703358], [-123.13070731959957, 49.27606229081578]], ""type"": ""LineString""}";;49.27595071229902, -123.13052214824205
"{""coordinates"": [[-123.1307659212729, 49.27610147051488], [-123.13104554182208, 49.27628236178226], [-123.13109473885545, 49.27635212662031], [-123.13115270937482, 49.27631375932837], [-123.13079490652484, 49.27608228695423], [-123.1307659212729, 49.27610147051488]], ""type"": ""LineString""}";;49.276212602829624, -123.1309624799103
"{""coordinates"": [[-123.02587979083398, 49.220662152873174], [-123.02621460788475, 49.220662086370986], [-123.0262146274172, 49.22067305160197], [-123.02587979655966, 49.2206731181073], [-123.02587979083398, 49.220662152873174]], ""type"": ""LineString""}";EASE.;49.22066760234782, -123.02604720567712
"{""coordinates"": [[-123.02587965767441, 49.22040713696279], [-123.02621419834979, 49.2204070705236], [-123.02621421788201, 49.220418035755074], [-123.02587966339999, 49.2204181021974], [-123.02587965767441, 49.22040713696279]], ""type"": ""LineString""}";EASE.;49.22041258646926, -123.02604693432977
"{""coordinates"": [[-123.02621456292377, 49.22057708106901], [-123.02621456872347, 49.22058804630327], [-123.02587975217288, 49.22058811280526], [-123.02587974644725, 49.220577147570964], [-123.02621456292377, 49.22057708106901]], ""type"": ""LineString""}";;49.22058259693771, -123.02604715756684
"{""coordinates"": [[-123.02451868571534, 49.22040872917474], [-123.02451864994191, 49.22041969441822], [-123.02395817940005, 49.22041889450431], [-123.02395836635645, 49.22040792922967], [-123.02451868571534, 49.22040872917474]], ""type"": ""LineString""}";EASE.;49.220413812556544, -123.02423846996196
"{""coordinates"": [[-123.02443371079113, 49.22074831866691], [-123.02443366126597, 49.220759283912614], [-123.02395684667938, 49.220758466266865], [-123.02395689631003, 49.22074750102134], [-123.02443371079113, 49.22074831866691]], ""type"": ""LineString""}";EASE.;49.22075339246752, -123.02419527876155
"{""coordinates"": [[-123.02395476692628, 49.221257254447394], [-123.02443158631594, 49.22125808109617], [-123.02443163584203, 49.22124711585142], [-123.02395481655786, 49.221246289202824], [-123.02395476692628, 49.221257254447394]], ""type"": ""LineString""}";EASE.;49.22125218515005, -123.02419320141045
"{""coordinates"": [[-123.02446222044999, 49.22141711998161], [-123.0244665379534, 49.221427994348474], [-123.02395402512383, 49.22142726520378], [-123.02395407475575, 49.22141629995953], [-123.02446249506386, 49.22141702997075]], ""type"": ""LineString""}";EASE.;49.22142216963151, -123.0242094652997
"{""coordinates"": [[-123.02449384816069, 49.22150211857916], [-123.02449378491521, 49.221513083826366], [-123.02395365422512, 49.22151227957534], [-123.0239537038572, 49.22150131433126], [-123.02449384816069, 49.22150211857916]], ""type"": ""LineString""}";EASE.;49.22150719901033, -123.02422374780784
"{""coordinates"": [[-123.11515155433469, 49.28077437086229], [-123.11530790082773, 49.28087554564746], [-123.11526922829788, 49.280901112551014], [-123.1151128955523, 49.28079993770028], [-123.11515155433469, 49.28077437086229]], ""type"": ""LineString""}";;49.28083774262511, -123.11521039716456
"{""coordinates"": [[-123.11421786549384, 49.28136590301239], [-123.11422849604229, 49.28137278281084], [-123.11371421941443, 49.28171282205229], [-123.1137035888643, 49.28170594220695], [-123.11421786549384, 49.28136590301239]], ""type"": ""LineString""}";;49.28153936252432, -123.11396604244833
"{""coordinates"": [[-123.11367160818871, 49.26789228710897], [-123.11329331015166, 49.267562309945085], [-123.11362496411677, 49.26739947698537], [-123.11362207174778, 49.267396961173574], [-123.11328657330128, 49.26756167789136], [-123.11366776370937, 49.26789417988301], [-123.11367160818871, 49.26789228710897]], ""type"": ""LineString""}";;49.26762272950014, -123.1134708251675
"{""coordinates"": [[-123.19077068792399, 49.24283325783767], [-123.19077059892565, 49.24284225322814], [-123.19074959022032, 49.242841739208025], [-123.19075010515915, 49.24283275210954], [-123.19077068792399, 49.24283325783767]], ""type"": ""LineString""}";;49.24283753270359, -123.19076024342995
"{""coordinates"": [[-123.17400223546699, 49.23957411850288], [-123.17399939606942, 49.23993121609922], [-123.17398264915154, 49.23993115136893], [-123.17398548863827, 49.23957404477766], [-123.17400223546699, 49.23957411850288]], ""type"": ""LineString""}";;49.239752632699165, -123.17399244223071
"{""coordinates"": [[-123.15609827392625, 49.248885006054984], [-123.15603857866606, 49.248922228007046], [-123.15560429109169, 49.24862371329398], [-123.15561485955068, 49.2483401873295], [-123.15560748059815, 49.24834007133511], [-123.15486162212564, 49.24782517892247], [-123.15486448114181, 49.247750829487046], [-123.15564364229597, 49.24828666290446], [-123.15569929362366, 49.248287559402655], [-123.15568754713583, 49.248602678220195], [-123.15609827392625, 49.248885006054984]], ""type"": ""LineString""}";;49.24832953768077, -123.15549650261052
"{""coordinates"": [[-123.08111388145592, 49.282554665464794], [-123.08111330802036, 49.28258229005086], [-123.0806627276665, 49.28264353877931], [-123.0806633013544, 49.28261591419563], [-123.08111388145592, 49.282554665464794]], ""type"": ""LineString""}";;49.28259910212631, -123.08088830462356
"{""coordinates"": [[-123.0806633013544, 49.28261591419563], [-123.0806627276665, 49.28264353877931], [-123.08043744395987, 49.28267417147502], [-123.0804380177593, 49.28264653789737], [-123.0806633013544, 49.28261591419563]], ""type"": ""LineString""}";;49.28264504089274, -123.08055037069767
"{""coordinates"": [[-123.08280536852494, 49.282359745617335], [-123.08291680299966, 49.282445236815434], [-123.08292134416212, 49.28234084454276], [-123.08277776393518, 49.2823381319979], [-123.08280536852494, 49.282359745617335]], ""type"": ""LineString""}";;49.282374369382396, -123.0828657265508
"{""coordinates"": [[-123.1217708700838, 49.21823432865278], [-123.12176539774397, 49.218233658237324], [-123.12175988702731, 49.218233491019404], [-123.12175438410678, 49.21823382840008], [-123.12174893509007, 49.21823466755254], [-123.12174358563318, 49.218236001445696], [-123.12173838055794, 49.218237818903205], [-123.12173336347645, 49.218240104697], [-123.12172857642564, 49.21824283967497], [-123.12172405951506, 49.21824600092138], [-123.12171985059085, 49.218249561948895], [-123.12171598491858, 49.21825349292052], [-123.12171249488779, 49.21825776089956], [-123.12170940974063, 49.21826233012565], [-123.12170675532681, 49.21826716231431], [-123.12170455388706, 49.218272216977795], [-123.12170282386667, 49.21827745176427], [-123.12168424955215, 49.21900670944685], [-123.12140816770649, 49.219003167959954], [-123.1214267336279, 49.21827443205732], [-123.12143085944788, 49.218260915999636], [-123.1214355996738, 49.21824760298103], [-123.12144094436691, 49.21823452091463], [-123.12144688232114, 49.21822169722928], [-123.12145340108648, 49.21820915881215], [-123.1214604869952, 49.21819693195223], [-123.12146812519045, 49.21818504228531], [-123.12147629965737, 49.218173514740194], [-123.12148499325676, 49.218162373486415], [-123.12149418776093, 49.2181516418836], [-123.12150386389199, 49.21814134243245], [-123.12151400136219, 49.21813149672761], [-123.12152457891652, 49.21812212541233], [-123.12153557437729, 49.21811324813524], [-123.12154696469054, 49.21810488350913], [-123.12155872597447, 49.21809704907192], [-123.12157083356945, 49.21808976124991], [-123.12158326208977, 49.218083035323296], [-123.12159598547682, 49.21807688539419], [-123.12160897705375, 49.218071324357005], [-123.12162220958145, 49.21806636387144], [-123.12163565531553, 49.218062014338045], [-123.12164928606465, 49.21805828487638], [-123.12166307324952, 49.21805518330592], [-123.12167698796287, 49.21805271612966], [-123.12169100103, 49.21805088852048], [-123.12170508307007, 49.21804970431028], [-123.12171920455754, 49.218049165981974], [-123.12173333588423, 49.21804927466426], [-123.12174744742131, 49.218050030129255], [-123.12176150958142, 49.21805143079301], [-123.12177549288076, 49.218053473718776], [-123.12372750683836, 49.218074796096225], [-123.12372131193642, 49.21825563480287], [-123.1217708700838, 49.21823432865278]], ""type"": ""LineString""}";;49.21830202491029, -123.12235292125621
"{""coordinates"": [[-123.1237186447038, 49.217132010420855], [-123.12375889220938, 49.21715942989522], [-123.12376073491038, 49.217105492225045], [-123.11987995055648, 49.217062908438685], [-123.11987926053438, 49.21708987700245], [-123.1237186447038, 49.217132010420855]], ""type"": ""LineString""}";;49.21709796726369, -123.12182844601797
"{""coordinates"": [[-123.11849720707777, 49.217711464547726], [-123.11849720709925, 49.217711473542984], [-123.11812573599052, 49.21770740135248], [-123.118084570713, 49.21770732552266], [-123.11804341135309, 49.21770802760287], [-123.11800227260986, 49.217709507342384], [-123.11796116917496, 49.217711764212744], [-123.11792011572747, 49.21771479740797], [-123.1178791269286, 49.21771860584482], [-123.11783821741648, 49.21772318816323], [-123.11779740180091, 49.21772854272672], [-123.11775658444638, 49.21773389746847], [-123.11771567318658, 49.2177384798817], [-123.11767468263385, 49.217742288329724], [-123.11763362742886, 49.21774532145224], [-123.11759252223534, 49.21774757816593], [-123.11755138173496, 49.21774905766474], [-123.11751022062188, 49.21774975942025], [-123.11746905359773, 49.2177496831818], [-123.11713803751302, 49.21774605241266], [-123.11713085735305, 49.217926882773696], [-123.11746442886717, 49.21793054694613], [-123.11748895594867, 49.217930708336], [-123.11751348346017, 49.217930637951554], [-123.1175380092115, 49.21793033579908], [-123.11756253101265, 49.21792980190557], [-123.11758704667399, 49.21792903631869], [-123.11761155400642, 49.21792803910679], [-123.11763605082157, 49.217926810358925], [-123.11766053493206, 49.21792535018482], [-123.11768500415157, 49.21792365871485], [-123.11770945629516, 49.21792173610006], [-123.11773388917942, 49.217919582512124], [-123.11775830062264, 49.21791719814335], [-123.11778268844502, 49.21791458320663], [-123.11780705046887, 49.21791173793548], [-123.11783138451882, 49.21790866258396], [-123.117855688422, 49.21790535742668], [-123.11788868342036, 49.217901025136406], [-123.11792175446881, 49.217897317790786], [-123.11795488973156, 49.21789423671665], [-123.11798807734993, 49.21789178301667], [-123.11802130544643, 49.217889957569], [-123.11805456212912, 49.21788876102694], [-123.11808783549581, 49.21788819381873], [-123.11812111363837, 49.217888256147354], [-123.11849258610215, 49.21789232835155], [-123.11847570985105, 49.21855313875027], [-123.11853602768034, 49.21851559355013], [-123.11854740917111, 49.21825046406248], [-123.1187595610299, 49.21825278281068], [-123.11876954089367, 49.21786169385153], [-123.1187733077466, 49.217714491245346], [-123.11849720707777, 49.217711464547726]], ""type"": ""LineString""}";;49.21794507386179, -123.11811456538715
"{""coordinates"": [[-123.11924282192722, 49.27902859234904], [-123.11926237588878, 49.27904124638061], [-123.11924304826455, 49.27905403948656], [-123.11924282192722, 49.27902859234904]], ""type"": ""LineString""}";;49.27904128343665, -123.11924921581797
"{""coordinates"": [[-123.13998718628346, 49.207531452916186], [-123.13998592701293, 49.20756684193427], [-123.13993376799016, 49.207566050582734], [-123.13993502729791, 49.207530661565194], [-123.13998718628346, 49.207531452916186]], ""type"": ""LineString""}";;49.20754875175334, -123.13996047714585
"{""coordinates"": [[-123.08402940539058, 49.280910836393275], [-123.08256411093427, 49.28088368379109], [-123.08256531637359, 49.28085627462219], [-123.08377465650777, 49.28087868370149], [-123.08402996125525, 49.280898116807265], [-123.08402940539058, 49.280910836393275]], ""type"": ""LineString""}";;49.2808841525327, -123.08329371506031
"{""coordinates"": [[-123.02559371103573, 49.20648612868878], [-123.02555826902098, 49.20652380882457], [-123.02537964801228, 49.20645167897269], [-123.02542059235019, 49.20640815973502], [-123.02531404896143, 49.2063651406551], [-123.02544061388211, 49.20623059722836], [-123.0249134480929, 49.20601771257383], [-123.02484713019724, 49.20602810742817], [-123.02471264692578, 49.206171071498645], [-123.0247043756067, 49.206165931666135], [-123.02469594372681, 49.20616105970567], [-123.02468735995826, 49.20615646062806], [-123.02467863312945, 49.206152139163436], [-123.02466977221594, 49.206148099756426], [-123.02466078633114, 49.20614434656156], [-123.02465168471703, 49.20614088343899], [-123.0246424767346, 49.20613771395053], [-123.0248382396003, 49.205929592880054], [-123.02498528936317, 49.20598897508226], [-123.02499061322847, 49.205983324885864], [-123.02556136295125, 49.20621382133294], [-123.02542722426988, 49.20635642634287], [-123.02555080867131, 49.206406331944834], [-123.02550821789946, 49.206451605674474], [-123.02559371103573, 49.20648612868878]], ""type"": ""LineString""}";;49.20619221760624, -123.02519825101324
"{""coordinates"": [[-123.02491183996099, 49.20595931547188], [-123.02471264692578, 49.206171071498645], [-123.0247043756067, 49.206165931666135], [-123.02469594372681, 49.20616105970567], [-123.02468735995826, 49.20615646062806], [-123.02467863312945, 49.206152139163436], [-123.02466977221594, 49.206148099756426], [-123.02466078633114, 49.20614434656156], [-123.02465168471703, 49.20614088343899], [-123.0246424767346, 49.20613771395053], [-123.02477287114885, 49.20599908656967], [-123.0247597559414, 49.20596287432801], [-123.02466573709472, 49.2059248983214], [-123.02467100430087, 49.20580530475994], [-123.02471773686592, 49.20580619429821], [-123.02471450605792, 49.2058796235765], [-123.02491183996099, 49.20595931547188]], ""type"": ""LineString""}";;49.20598571460775, -123.02474989984809
"{""coordinates"": [[-123.11798213555288, 49.28061034876837], [-123.11795661580386, 49.280627240784476], [-123.11790123052728, 49.280591424531934], [-123.11792675027677, 49.28057453252795], [-123.11798213555288, 49.28061034876837]], ""type"": ""LineString""}";VOL. EASE.;49.28060088665407, -123.11794168304064
"{""coordinates"": [[-123.11595693471624, 49.28023899091058], [-123.11593888200308, 49.280227279310054], [-123.11542311840705, 49.28056809231323], [-123.11578115626382, 49.28079935099948], [-123.11578878909779, 49.28079429705551], [-123.1154488451636, 49.2805747320404], [-123.11595693471624, 49.28023899091058]], ""type"": ""LineString""}";;49.28051435355089, -123.11566244768112
"{""coordinates"": [[-123.03208594159413, 49.20589332798621], [-123.03212769250743, 49.205896716602005], [-123.03224708811044, 49.20553448779623], [-123.0322061321937, 49.20552870625329], [-123.03208594159413, 49.20589332798621]], ""type"": ""LineString""}";;49.205713415532465, -123.03216661501699
"{""coordinates"": [[-123.11628262306121, 49.28254727620879], [-123.11628585920496, 49.28254936882835], [-123.11629545546111, 49.28254302656631], [-123.11629221931739, 49.28254093394702], [-123.11629467673329, 49.28253931234202], [-123.1162897192145, 49.28253609705798], [-123.11635210166928, 49.282494863336176], [-123.1163570729378, 49.282498078603716], [-123.11635953032828, 49.28249644800218], [-123.11636275272213, 49.28249854063345], [-123.11636585536012, 49.28249648660867], [-123.11643077121235, 49.28253851864528], [-123.11642853348093, 49.28254000510419], [-123.11643101224492, 49.282541612743245], [-123.11636198519194, 49.28258724284491], [-123.11635949267803, 49.28258563521821], [-123.11635163994589, 49.28259082434733], [-123.1163541324598, 49.28259243197419], [-123.11628509151508, 49.28263806204346], [-123.11628261275096, 49.28263645440129], [-123.11628036123962, 49.282637931875975], [-123.11621544538438, 49.28259589975559], [-123.11621854803461, 49.282593845734816], [-123.1162153256618, 49.28259176209472], [-123.11621778308275, 49.28259014049136], [-123.11621282556389, 49.28258692520405], [-123.11627520812573, 49.28254568252888], [-123.11628017939438, 49.28254889779971], [-123.11628262306121, 49.28254727620879]], ""type"": ""LineString""}";VOL. R.O.W.;49.2825650613809, -123.11631979214239
"{""coordinates"": [[-123.10527609907672, 49.239217592068556], [-123.10426274204316, 49.23919891943317], [-123.10426506011737, 49.23914499085251], [-123.10527838857274, 49.23916366349352], [-123.10527609907672, 49.239217592068556]], ""type"": ""LineString""}";;49.23918129181745, -123.1047705721463
"{""coordinates"": [[-123.10180449451586, 49.23806404994593], [-123.10177565832352, 49.23806350865327], [-123.10180736128608, 49.23734008300934], [-123.10183618335725, 49.237340642297006], [-123.10180449451586, 49.23806404994593]], ""type"": ""LineString""}";;49.23770207428173, -123.10180592404774
"{""coordinates"": [[-123.16666262052111, 49.26970908845292], [-123.16645336291766, 49.269705792019444], [-123.16645426189044, 49.26967881412027], [-123.16666349182674, 49.269682092601585], [-123.16666262052111, 49.26970908845292]], ""type"": ""LineString""}";;49.2696939476558, -123.16655843803451
"{""coordinates"": [[-123.12875521662998, 49.2752546547303], [-123.12838250329068, 49.2753465864946], [-123.1283213477563, 49.27538707880454], [-123.12838006704027, 49.275424937294154], [-123.12842845899662, 49.27539290562257], [-123.12864251394258, 49.27534010862069], [-123.12876349302479, 49.27526000664014], [-123.12875523040123, 49.27525466371014]], ""type"": ""LineString""}";;49.27533447973358, -123.12854103719955
"{""coordinates"": [[-123.1291146186699, 49.27602575299423], [-123.12912971887323, 49.276030043155046], [-123.12914489117786, 49.27603407090788], [-123.12916013102407, 49.276037835042295], [-123.12917543383188, 49.276041334427056], [-123.12919079500236, 49.276044568010505], [-123.12920620991905, 49.276047534820854], [-123.12922167394936, 49.2760502339665], [-123.12923718244589, 49.27605266463627], [-123.12925273074794, 49.27605482609968], [-123.12926831418278, 49.27605671770716], [-123.12928392806718, 49.276058338890216], [-123.12929956770871, 49.27605968916164], [-123.12931522840725, 49.27606076811565], [-123.12933090545631, 49.27606157542798], [-123.12934659414451, 49.27606211085601], [-123.12936228975695, 49.27606237423883], [-123.12920898722601, 49.27596327487606], [-123.1291146186699, 49.27602575299423]], ""type"": ""LineString""}";;49.27602600452002, -123.1292379532549
"{""coordinates"": [[-123.05530159476108, 49.205907492887974], [-123.0553017059691, 49.20592103974844], [-123.05512168191942, 49.20593283767366], [-123.05512159837775, 49.20591943472458], [-123.05521157494094, 49.20591313780555], [-123.05530159476108, 49.205907492887974]], ""type"": ""LineString""}";;49.205920123515526, -123.05521167367802
"{""coordinates"": [[-123.05601799109138, 49.25871102975731], [-123.05601871450945, 49.25877949196469], [-123.0559331904583, 49.258779821246286], [-123.05593375960366, 49.25871187113974], [-123.05601799109138, 49.25871102975731]], ""type"": ""LineString""}";;49.258745696608095, -123.05597598525878
"{""coordinates"": [[-123.06591759802936, 49.252493394091566], [-123.06589128794423, 49.25247019494712], [-123.06586532613828, 49.25244660669761], [-123.06583971836551, 49.25242263457095], [-123.06581447030143, 49.25239828388013], [-123.06578958754183, 49.25237356002208], [-123.06576507560153, 49.252348468476384], [-123.06574093991317, 49.25232301480415], [-123.065717185826, 49.25229720464673], [-123.06569381860471, 49.252271043724505], [-123.06567084342822, 49.25224453783557], [-123.06564826538857, 49.25221769285451], [-123.06562608948981, 49.25219051473101], [-123.06560432064681, 49.252163009488655], [-123.06558296368426, 49.25213518322349], [-123.06556202333556, 49.2521070421027], [-123.06554150424176, 49.25207859236328], [-123.06552141095058, 49.25204984031063], [-123.06550174791532, 49.25202079231712], [-123.06548251949395, 49.251991454820725], [-123.06546372994812, 49.251961834323595], [-123.0654453834422, 49.25193193739059], [-123.06542748404236, 49.251901770647834], [-123.0654100357157, 49.251871340781264], [-123.06539304232933, 49.251840654535116], [-123.06537650764955, 49.25180971871046], [-123.06536043534096, 49.251778540163684], [-123.0653448289657, 49.251747125804954], [-123.06532969198268, 49.251715482596715], [-123.06531502774672, 49.25168361755213], [-123.06530083950788, 49.25165153773353], [-123.06528713041077, 49.251619250250826], [-123.06527390349375, 49.25158676225999], [-123.06528731984362, 49.25158002625217], [-123.06530268938222, 49.25158517182889], [-123.06531493825935, 49.251617570432465], [-123.06532768153242, 49.251649777784046], [-123.06534091621661, 49.25168178633976], [-123.06535463921198, 49.2517135886023], [-123.06536884730421, 49.25174517712267], [-123.06538353716537, 49.251776544501965], [-123.06539870535468, 49.25180768339304], [-123.06541434831932, 49.251838586502295], [-123.06543046239527, 49.25186924659135], [-123.06544704380815, 49.25189965647874], [-123.06546408867413, 49.25192980904162], [-123.06548159300083, 49.2519596972174], [-123.06549955268821, 49.25198931400543], [-123.06551796352964, 49.25201865246862], [-123.06553682121276, 49.25204770573507], [-123.06555612132058, 49.25207646699969], [-123.06557585933247, 49.25210492952578], [-123.06559603062522, 49.2521330866466], [-123.06561663047415, 49.25216093176697], [-123.06563765405419, 49.25218845836478], [-123.06565909644102, 49.25221565999251], [-123.06568095261224, 49.25224253027878], [-123.06570321744852, 49.2522690629298], [-123.06572588573478, 49.252295251730885], [-123.06574895216148, 49.252321090547866], [-123.06577241132584, 49.25234657332858], [-123.06579625773301, 49.25237169410422], [-123.06582048579753, 49.25239644699081], [-123.06584508984449, 49.2524208261905], [-123.06587006411091, 49.252444825993024], [-123.06589540274713, 49.25246844077692], [-123.06592109981813, 49.252491665010965], [-123.06591759802936, 49.252493394091566]], ""type"": ""LineString""}";;49.25205882567225, -123.06556393470613
"{""coordinates"": [[-123.13002624345559, 49.20970201985407], [-123.13002513522113, 49.209734907887025], [-123.12955854026588, 49.20972758828947], [-123.12955967626897, 49.209694700229875], [-123.13002624345559, 49.20970201985407]], ""type"": ""LineString""}";;49.20971480451852, -123.12979239856
